featureid	rab.all	rab.win.1.negative	rab.win.2.asymptomatic	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101;f__	-1.78443371789957	-1.91323418307725	-1.43417531427703	0.538986403634932	4.16050574000548	0.111287462976147	0.435630698430412	0.484633422445583	0.639492145621514	0.494389486601578	0.645881121155103
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae	-1.37353394830306	-1.68258331889921	-0.605002211192199	1.1798349929276	5.2011538577724	0.223501459549893	0.394018221098918	0.436260082219182	0.595090351852133	0.414340398488027	0.572004213386044
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__	-1.61961035706423	-1.80601558090861	-1.09569695591491	0.864846670469311	4.44959033159256	0.19643757325029	0.416666678776809	0.404199009320325	0.560937644042392	0.430287424683732	0.595619192626688
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae	-1.65146026033536	-1.67888006391668	-1.55946125947013	0.21707235533283	4.13890651607869	0.0516925738691021	0.473958337022638	0.501252560146141	0.658568226871438	0.541516108590335	0.692610662170036
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae	-1.68132862539086	-1.85351709405576	-1.26405875233546	0.813184147545408	4.73017287104255	0.143349552488805	0.428385426996648	0.477240210297051	0.639333225973104	0.463213131598891	0.62459541553046
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae	-1.70467869763083	-1.75584471958258	-1.61174185033712	0.179285552260667	4.28421968634863	0.0323971977673119	0.483072919060954	0.525192928369396	0.685033629114892	0.569272111537587	0.724599471593192
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae	-1.28996369874451	-1.88781523402373	0.808784813460099	3.01223129102043	5.2148457641809	0.54093710768154	0.280884303496267	0.100127522981325	0.215597657309846	0.0793163155749122	0.182708104254746
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylocystaceae	-1.74914232697457	-2.00276796561741	-1.25146151990252	0.551067703100848	4.29496210596608	0.114904168390519	0.427828358891227	0.513101424737939	0.670423170535875	0.497662497299957	0.652015119690038
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae	-1.83828513938255	-2.08542292160956	-1.1904059631484	0.913349130878048	4.7971464385482	0.184756648272659	0.403120950465384	0.374331068670557	0.542273392713222	0.381289054639413	0.550457168540413
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae	-1.56662195494307	-1.96222172639731	-0.594686760783151	1.65216825549939	5.08488723981019	0.271629639976233	0.355006524258688	0.266836539863924	0.4276391431444	0.245466448610686	0.407996173834061
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodobiaceae	-1.82035904738665	-1.97085300323924	-1.46519009413002	0.452419381960794	4.3188331516835	0.100068150599563	0.450520840393132	0.500627906663937	0.660187844331079	0.516861790634523	0.674993161459951
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae	-1.90185161865678	-1.98162279073868	-1.72126526180145	0.401222659147585	4.23889204225355	0.0915604297617651	0.452535767477595	0.509101395596834	0.667705850179411	0.522469452881429	0.678542877712974
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	-1.38423638484654	-1.82456092436818	-0.000576443160761997	2.23744606027494	5.84810108294421	0.379750413452256	0.333333359824265	0.161454931019604	0.309429764339685	0.171355552786269	0.319043785688381
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__	-1.84723198242445	-2.0265493933207	-1.47660851014918	0.414355451653305	4.27206447303709	0.0793720162612763	0.463541671845216	0.428397428307827	0.594795073324802	0.463527199001551	0.620367604353776
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae	-1.59756576800016	-1.90675860598055	-1.09532160399019	0.803373934695651	5.05724129284178	0.120246796570509	0.425227579048278	0.451888133865166	0.619834329132527	0.460361651143215	0.626024687270084
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae	-1.80823520018415	-2.01388688318371	-1.44581266699916	0.722866212663962	4.16048712085702	0.13576121365206	0.427083343859222	0.459414395963336	0.608418493987301	0.462698456329931	0.619783135094986
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__	-2.04728926475311	-2.35508719656313	-1.24838117950663	1.31618243706309	5.26933807755457	0.214663974265798	0.36931081300485	0.326758212408401	0.486289050876856	0.340276972160965	0.486558426911524
